trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.35, 'e': 0.8200000000000038}",20,0,-118.00055039464551,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.35, 'e': 0.8175000000000039}",20,0,-67.40490307195421,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
74,False,"{'a': 0.35, 'e': 0.8150000000000039}",20,8,-29.903857103577547,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
75,False,"{'a': 0.35, 'e': 0.812500000000004}",20,5,20.74238402934112,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.35, 'e': 0.810000000000004}",30,0,-171.5181341718051,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
77,False,"{'a': 0.35, 'e': 0.8075000000000041}",20,6,-154.1721756447586,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 3}",1
78,False,"{'a': 0.35, 'e': 0.8050000000000042}",25,0,-169.21840112498032,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
79,False,"{'a': 0.35, 'e': 0.8025000000000042}",30,0,-125.71048109878157,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
80,False,"{'a': 0.35, 'e': 0.8000000000000043}",30,0,-228.59846432046956,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 4}",0
81,False,"{'a': 0.35, 'e': 0.7975000000000043}",30,21,4.319543507014398,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.35, 'e': 0.7950000000000044}",20,10,-26.85956913395086,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.35, 'e': 0.7925000000000044}",25,0,-36.53294889443715,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
84,False,"{'a': 0.35, 'e': 0.7900000000000045}",25,0,-74.90278472034093,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
85,False,"{'a': 0.35, 'e': 0.7875000000000045}",30,20,6.269336557747813,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.35, 'e': 0.7850000000000046}",20,0,-62.94328060011106,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
87,False,"{'a': 0.35, 'e': 0.7825000000000046}",30,0,-204.48106507796558,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
88,False,"{'a': 0.35, 'e': 0.7800000000000047}",30,0,-41.95555574286432,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.35, 'e': 0.7775000000000047}",25,0,-35.969089395344675,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.35, 'e': 0.7750000000000048}",25,1,-37.04756171649762,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
91,False,"{'a': 0.35, 'e': 0.7725000000000048}",20,0,-19.875283071901062,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.35, 'e': 0.7700000000000049}",25,0,-75.00537849930637,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
93,False,"{'a': 0.35, 'e': 0.767500000000005}",20,0,-60.41188480122773,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
94,False,"{'a': 0.35, 'e': 0.765000000000005}",20,0,-100.1251858301504,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 0}",0
95,False,"{'a': 0.35, 'e': 0.7625000000000051}",20,0,-70.16927204328529,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
96,False,"{'a': 0.35, 'e': 0.7600000000000051}",30,0,-70.48840927749644,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
97,False,"{'a': 0.35, 'e': 0.7575000000000052}",25,6,-44.18035908737133,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 0}",1
98,False,"{'a': 0.35, 'e': 0.7550000000000052}",25,0,-61.411043836532045,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.35, 'e': 0.7525000000000053}",35,14,-71.64865642008593,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 1}",1
100,False,"{'a': 0.35, 'e': 0.7500000000000053}",20,8,-54.93799906956884,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.35, 'e': 0.7475000000000054}",20,0,-37.824406117649254,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
102,False,"{'a': 0.35, 'e': 0.7450000000000054}",20,0,-27.92850780375604,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.35, 'e': 0.7425000000000055}",20,0,-42.31886488238091,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
104,False,"{'a': 0.35, 'e': 0.7400000000000055}",20,0,-76.17880838810676,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
105,False,"{'a': 0.35, 'e': 0.7375000000000056}",25,0,-16.93037408430959,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
